Trans. Date,Post Date,Description,Amount,Category
09/30/2020,09/30/2020,"BJ'S FUEL #9377 BALTIMORE MD",17.28,"Gasoline"
09/30/2020,09/30/2020,"GIANT 0363 DUNDALK MD03088R",16.06,"Supermarkets"
09/30/2020,09/30/2020,"PAYPAL *ZAZZLECOMIN 402-935-7733 CA",47.50,"Services"
09/30/2020,09/30/2020,"TACO BRAVO LUTHERVILLE TMD",65.12,"Restaurants"
09/30/2020,09/30/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",30.72,"Restaurants"
09/30/2020,09/30/2020,"ZIPS TOWSON TOWSON MD",17.43,"Services"
10/01/2020,10/01/2020,"AMZN MKTP US*MK74C4FL2 AMZN.COM/BILLWA3PY0R370OG4",80.12,"Merchandise"
10/01/2020,10/01/2020,"BJS WHOLESALE #0377 BALTIMORE MD",2.78,"Warehouse Clubs"
10/01/2020,10/01/2020,"CHICK-FIL-A #03236 BALTIMORE MD",4.23,"Restaurants"
10/01/2020,10/01/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",33.29,"Restaurants"
10/01/2020,10/01/2020,"VITAMINSHOPPE655 BALTIMORE MD128227",2.96,"Supermarkets"
10/02/2020,10/02/2020,"E-ZPASS MD MPC 888-321-6824 MD",40.00,"Travel/ Entertainment"
10/02/2020,10/02/2020,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
10/02/2020,10/02/2020,"INTERNET PAYMENT - THANK YOU",-300.00,"Payments and Credits"
10/02/2020,10/02/2020,"TAQUERIA EL SABOR DEL PA BALTIMORE MD",21.29,"Restaurants"
10/03/2020,10/03/2020,"AMAZON WEB SERVICES AWS.AMAZON.COWA4KG2IEO9N9Z",0.50,"Services"
10/03/2020,10/03/2020,"AMAZON.COM*MK04H50F1 AMZN.COM/BILLWA3UIGE3VDWG5",7.18,"Merchandise"
10/03/2020,10/03/2020,"AMAZON.COM*MK04Y20H1 AMZN.COM/BILLWA28PE63MG4TW",3.28,"Merchandise"
10/03/2020,10/03/2020,"AMAZON.COM*MK11B00V1 AMZN.COM/BILLWA2PI7XVHPCOR",3.78,"Merchandise"
10/03/2020,10/03/2020,"AMAZON.COM*MK1NU8021 AMZN.COM/BILLWA5UST9954AGC",2.41,"Merchandise"
10/03/2020,10/03/2020,"AMAZON.COM*MK29R64J0 AMZN.COM/BILLWA70VUJ8MWXT8",2.25,"Merchandise"
10/04/2020,10/04/2020,"AMAZON.COM*MK47P3TB2 AMZN.COM/BILLWA4HYDVOCCKCC",5.51,"Merchandise"
10/04/2020,10/04/2020,"BJS FUEL #9040 BALTIMORE MD",38.96,"Gasoline"
10/04/2020,10/04/2020,"EXPRESSCARE OF LOCH RAVE TOWSON MD",5.00,"Medical Services"
10/04/2020,10/04/2020,"SAM'S CLUB 06650 BALTIMORE MD",149.14,"Warehouse Clubs"
10/04/2020,10/04/2020,"TARGET BALTIMORE MD",12.55,"Supermarkets"
10/04/2020,10/04/2020,"TARGET BALTIMORE MD",17.17,"Supermarkets"
10/04/2020,10/04/2020,"TST* THB - TIMONIUM LUTHVLE TIMONMD",12.19,"Restaurants"
10/04/2020,10/04/2020,"YIA YIA'S BAKERY BALTIMORE MD00487R",8.19,"Merchandise"
10/04/2020,10/04/2020,"YIA YIAS PIZZERIA ROSEDALE MD",9.53,"Restaurants"
10/05/2020,10/05/2020,"AMZN MKTP US*MK44J4E62 AMZN.COM/BILLWA1D67OGSTZVD",29.67,"Merchandise"
10/05/2020,10/05/2020,"MICHAELS STORES 1188 BALTIMORE MD1188000115302010051628",6.60,"Merchandise"
10/06/2020,10/06/2020,"AMAZON.COM*MK4U19HH1 AMZN.COM/BILLWA4V9QY835KUV",56.17,"Merchandise"
10/06/2020,10/06/2020,"GIANT 2305 PARKVILLE MD00643R",15.97,"Supermarkets"
10/07/2020,10/07/2020,"AMAZON.COM*MK9BI11H0 AMZN.COM/BILLWA3Q3245X3RZT",2.30,"Merchandise"
10/07/2020,10/07/2020,"PABC-SINGLE SPACE METE BALTIMORE MD",2.25,"Services"
10/07/2020,10/07/2020,"SAMOS GREEK ISLAND GRI BALTIMORE MD",2.50,"Restaurants"
10/07/2020,10/07/2020,"SAMOS GREEK ISLAND GRI BALTIMORE MD",46.80,"Restaurants"
10/07/2020,10/07/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",8.32,"Restaurants"
10/07/2020,10/07/2020,"USA*IVS VENDING MASSAG BALTIMORE MDTD292914-1602101529",5.00,"Restaurants"
10/08/2020,10/10/2020,"CLADDAGH PUB BALTIMORE MD",41.22,"Restaurants"
10/09/2020,10/10/2020,"APPLE.COM/BILL 866-712-7753 CAMNHNMGB9Q3A0",2.99,"Merchandise"
10/09/2020,10/10/2020,"LEVELUPMYTHB279022870 855-538-3542 MA",5.57,"Restaurants"
10/09/2020,10/10/2020,"MMG MEDSTAR PHYSICIANS ARLINGTON VA",5.00,"Medical Services"
10/10/2020,10/10/2020,"AMZN MKTP US*MK9KX2281 AMZN.COM/BILLWA67JET0ILK5K",10.59,"Merchandise"
10/10/2020,10/10/2020,"GABRIEL BROS- BEL AIR ABINGDON MD",68.84,"Merchandise"
10/10/2020,10/10/2020,"INTERNET PAYMENT - THANK YOU",-358.47,"Payments and Credits"
10/10/2020,10/10/2020,"LIQUOR PUMP PARKVILLE MD",17.43,"Merchandise"
10/10/2020,10/10/2020,"TST* SUNNY DAY CAFE BEL AIR MD",87.40,"Restaurants"
10/11/2020,10/11/2020,"JOANN STORES #2090 PARKVILLE MD",16.94,"Merchandise"
10/11/2020,10/11/2020,"LIDL #1419 FREDERICKSBURMD1419830324092852015481",29.43,"Supermarkets"
10/11/2020,10/11/2020,"MICRO CENTER-TOWSON EAST BALTIMORE MD",201.39,"Merchandise"
10/11/2020,10/11/2020,"PROGRESSIVE *INSURANCE 800-776-4737 OH33502048 734987773",746.00,"Services"
10/11/2020,10/11/2020,"STARBUCKS STORE 07873 TOWSON MD682558",15.06,"Restaurants"
10/13/2020,10/13/2020,"CCBC BALTIMORE MD",849.00,"Education"
10/14/2020,10/14/2020,"AMAZON.COM*2T7M25OS1 AMZN.COM/BILLWA61KUF2IA2X3",40.26,"Merchandise"
10/14/2020,10/14/2020,"BJS WHOLESALE #0040 BALTIMORE MD",214.99,"Warehouse Clubs"
10/14/2020,10/14/2020,"LEDO PIZZA WHITE MRSH OL 410-931-5336 MD",25.95,"Restaurants"
10/15/2020,10/15/2020,"BEDBATH&BEYOND TOWNSON MD",58.29,"Merchandise"
10/15/2020,10/15/2020,"BJ'S FUEL #9377 BALTIMORE MD",20.22,"Gasoline"
10/15/2020,10/15/2020,"BJS FUEL #9040 BALTIMORE MD",21.24,"Gasoline"
10/15/2020,10/15/2020,"PANERA BREAD #203560 P TOWSON MD01558R",8.15,"Restaurants"
10/15/2020,10/15/2020,"PP*PADDLE.COM 888-221-1161 CA",4.99,"Merchandise"
10/15/2020,10/15/2020,"SAFEWAY 1481 BALTIMORE MD",3.71,"Supermarkets"
10/15/2020,10/15/2020,"SPOTIFY P11BBDE99B 8777781161 NY",4.99,"Merchandise"
10/15/2020,10/15/2020,"SUSHI ICHIBAN TOWSON MD",26.13,"Restaurants"
10/15/2020,10/15/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",16.01,"Restaurants"
10/16/2020,10/16/2020,"AMZN MKTP US*2T1LK3C82 AMZN.COM/BILLWA1L0B4Q213AL",24.37,"Merchandise"
10/16/2020,10/16/2020,"AMZN MKTP US*2T70X3C60 AMZN.COM/BILLWA6BT7ER7BMIZ",25.43,"Merchandise"
10/16/2020,10/16/2020,"AT&T*BILL PAYMENT 800-331-0500 TX",208.36,"Services"
10/16/2020,10/16/2020,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-76.48,"Awards and Rebate Credits"
10/16/2020,10/16/2020,"INTERNET PAYMENT - THANK YOU",-2523.52,"Payments and Credits"
10/16/2020,10/16/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",4.23,"Restaurants"
10/17/2020,10/17/2020,"AMZN MKTP US*2T3Y43EU1 AMZN.COM/BILLWA53CH75ZBSGL",29.64,"Merchandise"
10/17/2020,10/17/2020,"ARIGATO HIBACHI AND SUSH NOTTINGHAM MD",35.07,"Restaurants"
10/17/2020,10/17/2020,"DOLLAR TREE ABINGDON MD",10.60,"Merchandise"
10/17/2020,10/17/2020,"GABRIEL BROS- BEL AIR ABINGDON MD",27.50,"Merchandise"
10/17/2020,10/17/2020,"HOMEGOODS #0533 ABINGDON MD",15.68,"Merchandise"
10/17/2020,10/17/2020,"HOMEGOODS #0533 ABINGDON MD",58.92,"Merchandise"
10/17/2020,10/17/2020,"LEVELUPMYTHB282662994 855-538-3542 MA",14.80,"Restaurants"
10/17/2020,10/17/2020,"MCDONALD'S F1503 TIMONIUM MD",3.70,"Restaurants"
10/17/2020,10/17/2020,"OLLIES BARGAIN OUTLET 32 TOWSON MD",27.98,"Merchandise"
10/17/2020,10/17/2020,"SAMSCLUB.COM 6279 888-746-7726 TX",19.65,"Warehouse Clubs"
10/17/2020,10/17/2020,"SPORT AND ENTERTAINMENT BALTIMORE MD",10.30,"Services"
10/17/2020,10/17/2020,"STARBUCKS STORE 14363 ABINGDON MD719111",13.04,"Restaurants"
10/18/2020,10/18/2020,"TST* DENIRO S BALTIMORE MD",17.35,"Restaurants"
10/18/2020,10/18/2020,"TST* UBER BAGELS & DELI LUTHVLE TIMONMD",19.03,"Restaurants"
10/18/2020,10/19/2020,"PAYPAL *ZAZZLECOMIN 4029357733 CA",-6.36,"Payments and Credits"
10/19/2020,10/19/2020,"PAYPAL *IPAD REHAB 888-221-1161 CA",460.00,"Services"
10/19/2020,10/19/2020,"SAMSCLUB.COM 6279 888-746-7726 TX",11.98,"Warehouse Clubs"
10/19/2020,10/19/2020,"STORE MGRSBUX47805 BALTIMORE MD726557",8.91,"Restaurants"
10/19/2020,10/20/2020,"LEVELUPMYTHB282662994 8554665585 MA",-14.80,"Payments and Credits"
10/20/2020,10/20/2020,"CANTON MARKET BALTIMORE MD",4.08,"Supermarkets"
10/20/2020,10/20/2020,"THE FRESH MARKET 129 TOWSON MD",9.00,"Supermarkets"
10/21/2020,10/21/2020,"CHICK-FIL-A #01326 BALTIMORE MD",11.65,"Restaurants"
10/21/2020,10/21/2020,"MCDONALD'S F20966 NOTTINGHAM MD",3.49,"Restaurants"
10/21/2020,10/21/2020,"ROSINA GOURMET BALTIMORE MD02130R",10.59,"Restaurants"
10/21/2020,10/21/2020,"SPROUTS FARMERS MARKET BALTIMORE MD",10.94,"Supermarkets"
10/21/2020,10/21/2020,"STARBUCKS STORE 11050 NOTTINGHAM MD688926",9.97,"Restaurants"
10/21/2020,10/21/2020,"VALLEY VILLAGE ORAL SURG PIKESVILLE MD",262.80,"Medical Services"
10/21/2020,10/21/2020,"VERIZON*ONETIMEPAY VERIZON.COM FL332943551510328330001",334.94,"Services"
10/22/2020,10/22/2020,"PABC MULTI-SPACE BALTIMORE MD",3.00,"Services"
10/22/2020,10/25/2020,"SAMSCLUB.COM 6279 888-746-7726 TX",-6.47,"Payments and Credits"
10/23/2020,10/23/2020,"GIANT FOOD INC #144 BALTIMORE MD02386R",3.00,"Supermarkets"
10/23/2020,10/23/2020,"LIBS GRILL PERRY HALL MD",81.09,"Restaurants"
10/23/2020,10/23/2020,"PAYPAL *MACY S 402-935-7733 CA",14.58,"Department Stores"
10/23/2020,10/23/2020,"TORTILLERIA SINALOA BALTIMORE MD",30.36,"Restaurants"
10/23/2020,10/25/2020,"RACE PACE BICYCLES BALTIMORE MD000010",-14.65,"Payments and Credits"
10/24/2020,10/24/2020,"AMAZON.COM*2T9X176J0 AMZN.COM/BILLWA1WL4VASA79I",12.59,"Merchandise"
10/24/2020,10/24/2020,"BJ'S FUEL #9377 BALTIMORE MD",10.11,"Gasoline"
10/24/2020,10/24/2020,"ITALIAN SENSATION OF PER NOTTINGHAM MD",62.11,"Restaurants"
10/24/2020,10/24/2020,"LEVELUPMYTHB285586004 855-538-3542 MA",8.59,"Restaurants"
10/24/2020,10/24/2020,"LIDL #1419 FREDERICKSBURMD1419060631452982020041",9.21,"Supermarkets"
10/24/2020,10/24/2020,"MINUTEKEY NOTTINGHAM MD",10.06,"Home Improvement"
10/24/2020,10/24/2020,"WALMART STORE 02045 NOTTINGHAM MD",71.86,"Merchandise"
10/25/2020,10/25/2020,"ALDI 71048 NOTTINGHAM MD",20.31,"Supermarkets"
10/25/2020,10/25/2020,"EINSTEIN BROS BAGELS2049 BEL AIR MD",30.99,"Restaurants"
10/25/2020,10/25/2020,"GOODWILL PERRY HALL 5234 BALTIMORE MD",4.24,"Services"
10/25/2020,10/25/2020,"INTERNET PAYMENT - THANK YOU",-400.00,"Payments and Credits"
10/25/2020,10/25/2020,"STARBUCKS STORE 56388 FALLSTON MD778691",2.60,"Restaurants"
10/26/2020,10/26/2020,"AMZN MKTP US*2T36159M0 AMZN.COM/BILLWA43JMR697PH4",9.53,"Merchandise"
10/26/2020,10/26/2020,"GIANT 2305 PARKVILLE MD02603R",52.57,"Supermarkets"
10/27/2020,10/27/2020,"SQ *ORDER & CHAOS COFF BALTIMORE MD0002305843013361750624",9.48,"Restaurants"
10/27/2020,10/27/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",8.21,"Restaurants"
10/28/2020,10/28/2020,"AMZN MKTP US*2T0OK6YJ0 AMZN.COM/BILLWA7CVA5GYK3ZW",33.91,"Merchandise"
10/28/2020,10/28/2020,"ROSINA GOURMET BALTIMORE MD02806R",25.40,"Restaurants"
10/28/2020,10/28/2020,"TARGET BALTIMORE MD",20.00,"Supermarkets"
10/29/2020,10/29/2020,"AMAZON.COM*284M47ZF1 AMZN.COM/BILLWA4OUH7740KW2",10.58,"Merchandise"
10/29/2020,10/29/2020,"AMAZON.COM*2898L14S0 AMZN.COM/BILLWA7HNUBFU9UCU",7.95,"Merchandise"
10/30/2020,10/30/2020,"BJS FUEL #9040 BALTIMORE MD",40.22,"Gasoline"
10/30/2020,10/30/2020,"BJS WHOLESALE #0040 BALTIMORE MD",56.13,"Warehouse Clubs"
10/30/2020,10/30/2020,"GIANT 0131 BALTIMORE MD03087R",2.79,"Supermarkets"
10/30/2020,10/30/2020,"INTERNET PAYMENT - THANK YOU",-1700.00,"Payments and Credits"
10/30/2020,10/30/2020,"INTERNET PAYMENT - THANK YOU",-800.00,"Payments and Credits"
10/30/2020,10/30/2020,"MOTHERS - TIMONIUM LUTHVLE TIMONMD",71.36,"Restaurants"
10/30/2020,10/30/2020,"SAM'S ONLINE CLUB TIMONIUM MD",74.04,"Warehouse Clubs"
10/31/2020,10/31/2020,"PAYPAL *MACY S 402-935-7733 CA",10.60,"Department Stores"
10/31/2020,10/31/2020,"PAYPAL *MACY S 402-935-7733 CA",59.47,"Department Stores"
10/31/2020,10/31/2020,"POOR BOYS GARDEN CENTER PARKVILLE MD",45.00,"Home Improvement"
10/31/2020,10/31/2020,"SHOPPERS FOOD/PHARM 7548 BALTIMORE MD",11.20,"Supermarkets"
10/31/2020,10/31/2020,"SPIRIT HALLOWEEN 60960 BEL AIR FLREG 03, TRANS 4857",17.00,"Merchandise"
11/01/2020,11/01/2020,"GIANT FOOD INC #144 BALTIMORE MD00155R",26.05,"Supermarkets"
11/01/2020,11/01/2020,"LEVELUPMYTHB289174311 855-538-3542 MA",14.84,"Restaurants"
11/01/2020,11/01/2020,"WALMART STORE 02045 NOTTINGHAM MD",46.12,"Merchandise"
11/03/2020,11/03/2020,"AMAZON WEB SERVICES AWS.AMAZON.COWA10CIZCAI1SJ",0.50,"Services"
11/03/2020,11/03/2020,"AMAZON.COM*284PB7EC2 AMZN.COM/BILLWA2VSHUXI1NZA",6.37,"Merchandise"
11/03/2020,11/03/2020,"CHICK-FIL-A #01941 PARKVILLE MD",13.13,"Restaurants"
11/04/2020,11/04/2020,"AMAZON.COM*2833P1VT0 AMZN.COM/BILLWA5EJ30W4TSKG",7.41,"Merchandise"
11/04/2020,11/04/2020,"SPROUTS FARMERS MARKET BALTIMORE MD",6.34,"Supermarkets"
11/04/2020,11/04/2020,"SQ *SOFI'S CREPES BALTIMORE MD0001152921509627442664",50.91,"Restaurants"
11/05/2020,11/05/2020,"AMAZON.COM*280SH7G12 AMZN.COM/BILLWA64QPBU65EJ1",7.31,"Merchandise"
11/05/2020,11/05/2020,"AMAZON.COM*2814D78J1 AMZN.COM/BILLWA3ZNH8G2S0T0",16.15,"Merchandise"
11/05/2020,11/05/2020,"AMAZON.COM*281AE58Y1 AMZN.COM/BILLWA5L5ESW5TN1E",32.58,"Merchandise"
11/05/2020,11/05/2020,"AMAZON.COM*281O18BY0 AMZN.COM/BILLWA1M5YPZCWPP9",8.11,"Merchandise"
11/05/2020,11/05/2020,"AMAZON.COM*284683GB2 AMZN.COM/BILLWA40JX5ADGFOG",3.81,"Merchandise"
11/05/2020,11/05/2020,"MISSION BBQ CANTON, MD. BALTIMORE MD",10.79,"Restaurants"
11/05/2020,11/05/2020,"PAYPAL *MACY S 402-935-7733 CA",15.90,"Department Stores"
11/05/2020,11/05/2020,"SAM'S ONLINE CLUB BALTIMORE MD",162.30,"Warehouse Clubs"
11/05/2020,11/05/2020,"SAMSCLUB.COM 6279 888-746-7726 TX",39.83,"Warehouse Clubs"
11/05/2020,11/05/2020,"TARGET BALTIMORE MD",135.72,"Supermarkets"
11/05/2020,11/05/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",16.83,"Restaurants"
11/05/2020,11/06/2020,"TARGET BALTIMORE MD",-9.33,"Payments and Credits"
11/06/2020,11/06/2020,"BROWNRICE 4 BALTIMORE MD",1.54,"Restaurants"
11/06/2020,11/06/2020,"BROWNRICE 4 BALTIMORE MD",14.05,"Restaurants"
11/06/2020,11/06/2020,"FRANCESCA'S B227 BALTIMORE MD23533",20.14,"Merchandise"
11/06/2020,11/06/2020,"SPROUTS FARMERS MARKET BALTIMORE MD",18.90,"Supermarkets"
11/06/2020,11/06/2020,"STARBUCKS STORE 16798 BALTIMORE MD723745",5.68,"Restaurants"
11/07/2020,11/07/2020,"BJS FUEL #9040 BALTIMORE MD",41.11,"Gasoline"
11/07/2020,11/07/2020,"DOLLARTREE BALTIMORE MD",2.59,"Merchandise"
11/07/2020,11/07/2020,"DUNKIN #357378 BALTIMORE MD",4.55,"Restaurants"
11/07/2020,11/07/2020,"GIANT FOOD INC #144 BALTIMORE MD00739R",15.00,"Supermarkets"
11/07/2020,11/07/2020,"IKEA BALTIMORE BALTIMORE MD",17.99,"Merchandise"
11/07/2020,11/07/2020,"LEVELUPMYTHB291977833 855-538-3542 MA",9.92,"Restaurants"
11/07/2020,11/07/2020,"TARGET MIDDLE RIVER MD",18.65,"Supermarkets"
11/08/2020,11/08/2020,"AMAZON.COM*283N53HF2 AMZN.COM/BILLWA1BMFFUKQMTB",10.78,"Merchandise"
11/08/2020,11/08/2020,"SQ *CHARCOAL GRILL MAN PARKVILLE MD0002305843013400698334",17.09,"Supermarkets"
11/08/2020,11/10/2020,"SEASONS PIZZA BALTIMORE MD",9.53,"Restaurants"
11/09/2020,11/10/2020,"APPLE.COM/BILL 866-712-7753 CAMNHNX8W350A0",2.99,"Merchandise"
11/09/2020,11/10/2020,"CHEGG ORDER 844-224-5952 CA",11.46,"Merchandise"
11/10/2020,11/10/2020,"AMZN MKTP US*283XQ0WI0 AMZN.COM/BILLWA9VWXG4KHDTW",14.02,"Merchandise"
11/10/2020,11/10/2020,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-64.81,"Awards and Rebate Credits"
11/10/2020,11/10/2020,"INTERNET PAYMENT - THANK YOU",-120.00,"Payments and Credits"
11/10/2020,11/10/2020,"JIMMY JOHNS - 1476 BALTIMORE MD",10.15,"Restaurants"
11/11/2020,11/11/2020,"AMAZON.COM*280LI77T2 AMZN.COM/BILLWA6BN6T3SNJRY",3.53,"Merchandise"
11/11/2020,11/11/2020,"GIANT 0131 BALTIMORE MD01125R",18.49,"Supermarkets"
11/11/2020,11/11/2020,"GIANT 0131 BALTIMORE MD01140R",24.43,"Supermarkets"
11/11/2020,11/11/2020,"HONEY GROW #113 BALTIMORE MD",12.40,"Restaurants"
11/11/2020,11/11/2020,"SAM'S ONLINE CLUB BALTIMORE MD",25.17,"Warehouse Clubs"
11/12/2020,11/12/2020,"AMZN MKTP US*206690O50 AMZN.COM/BILLWA9TVSUSE8ZDI",13.77,"Merchandise"
11/12/2020,11/12/2020,"AT&T DF Z73WP 577653 800-331-0500 MD",72.00,"Services"
11/13/2020,11/13/2020,"AMAZON.COM*206HJ7ZN1 AMZN.COM/BILLWA6HBH4BDXMSF",21.07,"Merchandise"
11/13/2020,11/13/2020,"AMZN MKTP US*2095K5NQ1 AMZN.COM/BILLWA2GR06ZQZK23",20.47,"Merchandise"
11/13/2020,11/13/2020,"BALTIMORE GAS AND ELECTR 410-234-5000 MD",343.24,"Services"
11/13/2020,11/13/2020,"BF WHITE MARSH INSTORE NOTTINGHAM MD",23.45,"Restaurants"
11/13/2020,11/13/2020,"BJ'S FUEL #9377 BALTIMORE MD",21.27,"Gasoline"
11/13/2020,11/13/2020,"INTERNET PAYMENT - THANK YOU",-850.00,"Payments and Credits"
11/13/2020,11/13/2020,"INTERNET PAYMENT - THANK YOU",-588.50,"Payments and Credits"
11/13/2020,11/13/2020,"SAFEWAY 1481 BALTIMORE MD",4.44,"Supermarkets"
11/13/2020,11/13/2020,"TOMS.COM USD 800-975-8667 CA",64.83,"Merchandise"
11/14/2020,11/14/2020,"AMAZON.COM*2091C1T81 AMZN.COM/BILLWA5CT6UERBQUC",21.19,"Merchandise"
11/14/2020,11/14/2020,"AMZN MKTP US*205BO8310 AMZN.COM/BILLWA35BDK6MPGTN",21.19,"Merchandise"
11/14/2020,11/14/2020,"CHICK-FIL-A #01326 BALTIMORE MD",14.82,"Restaurants"
11/14/2020,11/14/2020,"GIANT 0128 LUTHERVILLE MD01489R",25.00,"Supermarkets"
11/14/2020,11/14/2020,"GIANT FOOD INC #144 BALTIMORE MD01447R",4.94,"Supermarkets"
11/14/2020,11/14/2020,"PAYPAL *PETSMART 888-221-1161 CA",15.89,"Merchandise"
11/14/2020,11/14/2020,"SHOPRITE OFTIMONIUM S1 LUTHERVILLETMMD001473482821",28.91,"Supermarkets"
11/14/2020,11/14/2020,"TARGET ABINGDON MD",11.65,"Merchandise"
11/14/2020,11/14/2020,"TARGET BEL AIR MD",25.26,"Supermarkets"
11/14/2020,11/14/2020,"WAWA 8500 FALLSTON MD",1.75,"Gasoline"
11/15/2020,11/15/2020,"AMAZON.COM*2055F34A2 AMZN.COM/BILLWA129OQ3FZGND",12.63,"Merchandise"
11/15/2020,11/15/2020,"AMAZON.COM*209ZM60F1 AMZN.COM/BILLWA5DADXRD21N6",2.79,"Merchandise"
11/15/2020,11/15/2020,"AMAZON.COM*209ZN00M1 AMZN.COM/BILLWA5NM7I6XGAZS",2.79,"Merchandise"
11/15/2020,11/15/2020,"AMZN MKTP US*204YM3492 AMZN.COM/BILLWA5JK5Q9UMHE0",12.97,"Merchandise"
11/15/2020,11/15/2020,"AMZN MKTP US*207SL3E01 AMZN.COM/BILLWA4EFGBJ60HV7",11.65,"Merchandise"
11/15/2020,11/15/2020,"CHEWY.COM 800-672-4399 FLPMT-62ZCWNAT88",35.03,"Merchandise"
11/15/2020,11/15/2020,"FIVE BELOW 247 NOTTINGHAM MD",9.54,"Merchandise"
11/15/2020,11/15/2020,"PETCO 1754 63517544730 BALTIMORE MD",49.73,"Merchandise"
11/15/2020,11/15/2020,"RAISE.COM 8885784710 IL",57.59,"Merchandise"
11/15/2020,11/15/2020,"SPOTIFY P1226F51B1 8777781161 NY",4.99,"Merchandise"
11/15/2020,11/15/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",24.30,"Restaurants"
11/16/2020,11/16/2020,"AMZN MKTP US*200EP0AX0 AMZN.COM/BILLWAIGX8JGVNYAO",14.83,"Merchandise"
11/16/2020,11/16/2020,"AMZN MKTP US*7O9341783 AMZN.COM/BILLWA6F44E2Z5YS3",22.25,"Merchandise"
11/16/2020,11/16/2020,"AT&T*BILL PAYMENT 800-331-0500 TX",201.50,"Services"
11/16/2020,11/16/2020,"SAMOS GREEK ISLAND GRI BALTIMORE MD",16.22,"Restaurants"
11/16/2020,11/16/2020,"SPROUTS FARMERS MARKET BALTIMORE MD",11.15,"Supermarkets"
11/17/2020,11/17/2020,"AMAZON.COM*1537H5D23 AMZN.COM/BILLWA54R32U83EYQ",12.63,"Merchandise"
11/17/2020,11/17/2020,"AMZN MKTP US*L10GI9K83 AMZN.COM/BILLWA5NJRFJD9LHR",62.53,"Merchandise"
11/17/2020,11/17/2020,"SQ *POKEONO BALTIMORE BALTIMORE MD0002305843013425357805",10.49,"Restaurants"
11/17/2020,11/17/2020,"VITAMINSHOPPE655 BALTIMORE MD134616",2.04,"Supermarkets"
11/18/2020,11/18/2020,"AMAZON.COM*L04S29RB3 AMZN.COM/BILLWA3QPNU37EILY",19.07,"Merchandise"
11/18/2020,11/18/2020,"BF WHITE MARSH INSTORE NOTTINGHAM MD",27.99,"Restaurants"
11/18/2020,11/18/2020,"SAMSCLUB.COM 6279 888-746-7726 TX",27.86,"Warehouse Clubs"
11/18/2020,11/18/2020,"SQ *ORDER & CHAOS COFF BALTIMORE MD0002305843013428506415",8.00,"Restaurants"
11/19/2020,11/19/2020,"AMAZON.COM*0F0HX0SO3 AMZN.COM/BILLWA11TB55QU8XF",126.14,"Merchandise"
11/19/2020,11/19/2020,"AMZN MKTP US*V98JP5FU3 AMZN.COM/BILLWALU34CEQJKFP",9.53,"Merchandise"
11/19/2020,11/19/2020,"BJ'S FUEL #9377 BALTIMORE MD",18.39,"Gasoline"
11/19/2020,11/19/2020,"LIGHTHOUSE LIQUORS BALTIMORE MD",22.87,"Merchandise"
11/19/2020,11/19/2020,"PABC MULTI-SPACE BALTIMORE MD",3.00,"Services"
11/19/2020,11/19/2020,"VITAMINSHOPPE655 BALTIMORE MD134869",12.95,"Supermarkets"
11/20/2020,11/20/2020,"BJS FUEL #9040 BALTIMORE MD",34.63,"Gasoline"
11/20/2020,11/20/2020,"CHICK-FIL-A #01326 BALTIMORE MD",7.52,"Restaurants"
11/20/2020,11/20/2020,"CHICK-FIL-A #03236 BALTIMORE MD",6.34,"Restaurants"
11/20/2020,11/20/2020,"TORTILLERIA SINALOA BALTIMORE MD",18.06,"Restaurants"
11/20/2020,11/20/2020,"VITAMINSHOPPE655 BALTIMORE MD135030",23.94,"Supermarkets"
11/21/2020,11/21/2020,"7-ELEVEN 25816 BALTIMORE MD",2.43,"Gasoline"
11/21/2020,11/21/2020,"CNK*CINEMARK.COM 1072 800-246-3627 MD10720030CF4F",163.90,"Travel/ Entertainment"
11/21/2020,11/21/2020,"SAFEWAY 1481 BALTIMORE MD",89.28,"Supermarkets"
11/22/2020,11/22/2020,"GIANT FOOD INC #197 BALTIMORE MD02267R",111.93,"Supermarkets"
11/23/2020,11/23/2020,"PAYPAL *NATIVE 402-935-7733 CA",9.95,"Merchandise"
11/23/2020,11/25/2020,"SAMSCLUB.COM 6279 888-746-7726 TX",-27.86,"Payments and Credits"
11/24/2020,11/24/2020,"ROSINA GOURMET BALTIMORE MD02474R",10.59,"Restaurants"
11/24/2020,11/24/2020,"VITAMINSHOPPE655 BALTIMORE MD135459",7.34,"Supermarkets"
11/25/2020,11/25/2020,"AMAZON.COM*KO3KQ7T33 AMZN.COM/BILLWA1OND0TXM8P8",66.65,"Merchandise"
11/25/2020,11/25/2020,"SAM'S ONLINE CLUB BALTIMORE MD",59.67,"Warehouse Clubs"
